x_value,sigmoid_approximation,sign_real
0.079,-23942563.36633786,1.0
0.08,-28977764.279562198,1.0
0.081,-34987114.228932925,1.0
0.082,-42143137.142068535,1.0
0.083,-50646165.901603475,1.0
0.084,-60728394.42308672,1.0
0.085,-72658459.14868262,1.0
0.086,-86746611.36809926,1.0
0.087,-103350548.02574626,1.0
0.088,-122881975.46949175,1.0
0.089,-145813987.9823561,1.0
0.09,-172689350.95729193,1.0
0.091,-204129787.2727751,1.0
0.092,-240846374.85187522,1.0
0.093,-283651173.59129834,1.0
0.094,-333470210.88407433,1.0
0.095,-391357966.88776463,1.0
0.096,-458513513.57015914,1.0
0.097,-536298475.4608213,1.0
0.098,-626256995.0173968,1.0
0.099,-730137901.6520405,1.0
0.1,-849919300.8311794,1.0
0.101,-987835818.3407565,1.0
0.102,-1146408754.8830407,1.0
0.103,-1328479427.7282338,1.0
0.104,-1537245999.2774642,1.0
0.105,-1776304117.2011106,1.0
0.106,-2049691717.4002304,1.0
0.107,-2361938369.5073037,1.0
0.108,-2718119575.108857,1.0
0.109,-3123916461.4554615,1.0
0.11,-3585681348.2493,1.0
0.111,-4110509702.296414,1.0
0.112,-4706319034.517277,1.0
0.113,-5381935336.168974,1.0
0.114,-6147187696.29576,1.0
0.115,-7013011790.54915,1.0
0.116,-7991562982.769353,1.0
0.117,-9096339835.268696,1.0
0.118,-10342318881.785181,1.0
0.119,-11746101578.768837,1.0
0.12,-13326074416.221508,1.0
0.121,-15102583238.938385,1.0
0.122,-17098122902.910767,1.0
0.123,-19337543470.067883,1.0
0.124,-21848274227.696217,1.0
0.125,-24660566907.018845,1.0
0.126,-27807759568.800476,1.0
0.127,-31326562722.730267,1.0
0.128,-35257369351.99907,1.0
0.129,-39644590625.217545,1.0
0.13,-44537019194.917244,1.0
0.131,-49988222105.645004,1.0
0.132,-56056965465.43106,1.0
0.133,-62807673172.51316,1.0
0.134,-70310922134.98769,1.0
0.135,-78643976574.89583,1.0
0.136,-87891364170.51468,1.0
0.137,-98145496961.70381,1.0
0.138,-109507340123.46638,1.0
0.139,-122087131902.83977,1.0
0.14,-136005158214.27135,1.0
0.141,-151392585599.23233,1.0
0.142,-168392356477.41708,1.0
0.143,-187160150849.99152,1.0
0.144,-207865418860.48813,1.0
0.145,-230692488876.5975,1.0
0.146,-255841756026.88095,1.0
0.147,-283530956410.82477,1.0
0.148,-313996532499.3124,1.0
0.149,-347495095556.08405,1.0
0.15,-384304991239.72034,1.0
0.151,-424727974890.7808,1.0
0.152,-469091003370.6145,1.0
0.153,-517748150697.73694,1.0
0.154,-571082655125.2661,1.0
0.155,-629509105719.448,1.0
0.156,-693475776935.582,1.0
0.157,-763467120144.4407,1.0
0.158,-840006421540.4108,1.0
0.159,-923658636362.915,1.0
0.16,-1015033409886.0465,1.0
0.161,-1114788296178.7268,1.0
0.162,-1223632186209.946,1.0
0.163,-1342328957471.8223,1.0
0.164,-1471701357918.1594,1.0
0.165,-1612635137669.1726,1.0
0.166,-1766083442614.8396,1.0
0.167,-1933071484761.2734,1.0
0.168,-2114701504907.6226,1.0
0.169,-2312158044016.3774,1.0
0.17,-2526713540448.9907,1.0
0.171,-2759734271082.397,1.0
0.172,-3012686655201.8916,1.0
0.173,-3287143940982.889,1.0
0.174,-3584793295329.949,1.0
0.175,-3907443318837.5493,1.0
0.176,-4257032008674.3955,1.0
0.177,-4635635193273.698,1.0
0.178,-5045475463836.87,1.0
0.179,-5488931628829.189,1.0
0.18,-5968548718864.856,1.0
0.181,-6487048570647.126,1.0
0.182,-7047341019948.276,1.0
0.183,-7652535734986.509,1.0
0.184,-8305954722983.417,1.0
0.185,-9011145544168.8,1.0
0.186,-9771895269041.277,1.0
0.187,-10592245216294.885,1.0
0.188,-11476506510486.26,1.0
0.189,-12429276500245.32,1.0
0.19,-13455456079627.844,1.0
0.191,-14560267957072.203,1.0
0.192,-15749275918357.018,1.0
0.193,-17028405131965.092,1.0
0.194,-18403963547342.406,1.0
0.195,-19882664438703.08,1.0
0.196,-21471650149272.92,1.0
0.197,-23178517093190.637,1.0
0.198,-25011342074696.086,1.0
0.199,-26978709986735.12,1.0
0.2,-29089742953701.098,1.0
0.201,-31354130985718.402,1.0
0.202,-33782164214654.758,1.0
0.203,-36384766784930.79,1.0
0.204,-39173532475180.625,1.0
0.205,-42160762129907.67,1.0
0.206,-45359502983479.38,1.0
0.207,-48783589962119.52,1.0
0.208,-52447689052982.99,1.0
0.209,-56367342832948.54,1.0
0.21,-60559018253434.53,1.0
0.211,-65040156781342.83,1.0
0.212,-69829227000161.734,1.0
0.213,-74945779779325.44,1.0
0.214,-80410506124123.75,1.0
0.215,-86245297822802.89,1.0
0.216,-92473311011984.62,1.0
0.217,-99119032786172.66,1.0
0.218,-106208350981907.73,1.0
0.219,-113768627272088.75,1.0
0.22,-121828773711091.9,1.0
0.221,-130419332876607.4,1.0
0.222,-139572561759571.17,1.0
0.223,-149322519559205.2,1.0
0.224,-159705159545998.03,1.0
0.225,-170758425161467.03,1.0
0.226,-182522350529740.94,1.0
0.227,-195039165562399.53,1.0
0.228,-208353405844611.38,1.0
0.229,-222512027497420.12,1.0
0.23,-237564527218054.25,1.0
0.231,-253563067707385.8,1.0
0.232,-270562608701131.84,1.0
0.233,-288621043829104.5,1.0
0.234,-307799343534751.06,1.0
0.235,-328161704295425.2,1.0
0.236,-349775704392266.2,1.0
0.237,-372712466487259.7,1.0
0.238,-397046827274025.94,1.0
0.239,-422857514478112.6,1.0
0.24,-450227331492078.94,1.0
0.241,-479243349940474.0,1.0
0.242,-509997110479889.8,1.0
0.243,-542584832149671.4,1.0
0.244,-577107630599576.0,1.0
0.245,-613671745531682.2,1.0
0.246,-652388777705201.6,1.0
0.247,-693375935864516.1,1.0
0.248,-736756293962790.1,1.0
0.249,-782659059065865.9,1.0
0.25,-831219850333868.9,1.0
0.251,-882580989491063.5,1.0
0.252,-936891803207936.4,1.0
0.253,-994308937833359.2,1.0
0.254,-1054996686928923.1,1.0
0.255,-1119127332072170.0,1.0
0.256,-1186881497410545.0,1.0
0.257,-1258448518463338.0,1.0
0.258,-1334026825684845.8,1.0
0.259,-1413824343318316.8,1.0
0.26,-1498058904087075.8,1.0
0.261,-1586958680286523.0,1.0
0.262,-1680762631858438.2,1.0
0.263,-1779720972047282.5,1.0
0.264,-1884095651256959.0,1.0
0.265,-1994160859745711.8,1.0
0.266,-2110203549816662.8,1.0
0.267,-2232523978181786.0,1.0
0.268,-2361436269197998.0,1.0
0.269,-2497268999695419.5,1.0
